targetId,comparatorId,outcomeIds,excludedCovariateConceptIds
874,929,20; 30; 31; 1300; 1301; 1165; 1030; 1197; 1202; 1200; 1201; 1190; 1198; 1180; 1240; 1239; 1237; 1236; 1235; 1234; 1233; 653; 654,1322184;40241186
1253,1254,20; 30; 31; 1300; 1301; 1165; 1030; 1197; 1202; 1200; 1201; 1190; 1198; 1180; 1240; 1239; 1237; 1236; 1235; 1234; 1233; 653; 654,1322184;40241186
